iter	MAE
0	1246460.508
1	1235277.447
2	1227245.007
3	1217046.415
4	1208924.909
5	1198397.695
6	1189271.862
7	1176829.274
8	1165880.825
9	1156401.29
10	1147082.327
11	1137805.627
12	1130484.039
13	1120902.453
14	1112380.957
15	1104305.356
16	1098795.451
17	1091085.199
18	1084095.232
19	1078218.87
20	1073029.191
21	1065519.289
22	1059710.407
23	1053990.102
24	1047386.615
25	1041966.294
26	1037141.328
27	1032774.404
28	1030026.738
29	1026246.913
30	1021860.323
31	1017232.937
32	1013148.859
33	1008337.043
34	1003854.599
35	1000618.664
36	998058.7431
37	994360.1205
38	990327.4088
39	984777.656
40	980618.7133
41	977164.9048
42	973101.1916
43	969914.795
44	965892.4342
45	963236.9429
46	959480.5652
47	954765.2146
48	950479.8935
49	947141.1835
50	944988.4803
51	943099.2187
52	941079.2861
53	937757.6122
54	936242.1302
55	932395.9971
56	930211.6827
57	928347.8283
58	927643.107
59	926919.3889
60	922954.7646
61	921648.0419
62	920091.7591
63	919496.3856
64	918725.2399
65	916077.8361
66	913468.1316
67	911435.8795
68	909961.6495
69	908148.6632
70	906116.2999
71	904670.2771
72	902472.6816
73	900823.6006
74	897248.0719
75	896882.552
76	894730.1671
77	892767.5247
78	891601.9519
79	890017.4039
80	888169.0909
81	887067.1796
82	885784.1191
83	883488.5091
84	881317.3138
85	879982.069
86	878728.2407
87	877456.977
88	876051.9863
89	873875.7327
90	872343.9576
91	870569.5186
92	869113.6664
93	867223.5688
94	865647.3358
95	864559.4002
96	862983.721
97	861391.1476
98	861205.8766
99	860212.4592
100	859089.1477
101	858002.2356
102	857287.363
103	856370.3658
104	855793.4318
105	854067.5624
106	852651.5846
107	850857.4665
108	849144.7211
109	848372.1545
110	847020.5979
111	846163.4326
112	844873.9229
113	843725.0626
114	842105.7707
115	840488.9766
116	839582.9162
117	838291.3214
118	837132.5641
119	836641.0768
120	834919.0472
121	834031.8823
122	833243.1288
123	832754.3932
124	831115.7564
125	830184.4225
126	828928.5364
127	828304.015
128	827877.5376
129	827344.4395
130	826671.9077
131	825960.4645
132	824898.2971
133	824442.2566
134	822809.9215
135	822586.7313
136	821938.6552
137	821463.3233
138	820678.177
139	819896.982
140	819235.0678
141	818719.9657
142	818292.7787
143	817805.5917
144	816721.7913
145	816128.1003
146	815822.1092
147	814638.0163
148	813879.3948
149	812860.841
150	811735.2968
151	810874.397
152	810123.0629
153	809408.7218
154	808985.3854
155	808357.9325
156	808356.1305
157	807863.5604
158	807408.3339
159	807043.571
160	805684.6363
161	805655.2795
162	805007.7469
163	804136.1805
164	803494.556
165	802868.3964
166	802422.9451
167	801500.6798
168	800829.1992
169	800253.7889
170	799567.0782
171	799206.5603
172	798960.0896
173	798583.2449
174	797216.9421
175	796639.2439
176	796111.0781
177	795655.1295
178	794543.3566
179	794037.9591
180	793635.7669
181	793109.678
182	792784.1205
183	792132.8515
184	791568.9988
185	791495.8831
186	791048.2242
187	790704.2661
188	790358.8426
189	790316.5675
190	789939.1902
191	789016.5153
192	788283.6445
193	787889.6098
194	787453.6816
195	787215.9238
196	786911.2962
197	786153.0277
198	785832.8627
199	785387.7149
200	785015.6908
201	784750.8308
202	784424.3
203	783895.885
204	783205.7869
205	782098.5947
206	781701.4308
207	781459.1386
208	780983.3087
209	780000.1564
210	779478.992
211	778540.7865
212	778051.497
213	777804.7386
214	777583.1331
215	776705.4141
216	776402.9921
217	775681.9359
218	775202.8485
219	775201.8377
220	774660.8488
221	774143.4284
222	773751.6878
223	773573.8214
224	773279.3914
225	772690.4532
226	772337.9413
227	771893.0512
228	771702.9186
229	771287.3929
230	770360.1512
231	770027.3877
232	769469.2596
233	769049.8578
234	768882.3377
235	767828.8336
236	767211.0931
237	766999.3469
238	766602.9554
239	766302.1052
240	766054.945
241	765563.5284
242	765136.7264
243	764862.2503
244	764225.3363
245	763880.4169
246	763605.181
247	762870.3615
248	762047.3047
249	761616.3653
250	761123.0392
251	760880.66
252	759769.1206
253	759578.3259
254	758795.8986
255	758609.0649
256	758377.3821
257	758155.2109
258	757615.0115
259	757415.9902
260	756956.0403
261	756404.4948
262	755813.4389
263	755461.5261
264	755288.0763
265	754630.8422
266	754167.2914
267	753693.5273
268	753295.1435
269	752656.0006
270	752524.2671
271	751994.4954
272	751498.933
273	751263.5608
274	751085.0567
275	750646.7636
276	750416.4556
277	749815.1648
278	749553.4472
279	749296.8312
280	748910.5105
281	748487.1231
282	748115.1589
283	747071.5825
284	746507.385
285	745642.0546
286	744878.6942
287	744516.9179
288	744181.7884
289	743939.8613
290	743500.7126
291	743178.1069
292	742942.855
293	742517.2759
294	742256.002
295	741830.1015
296	741310.5992
297	740453.3761
298	740088.9966
299	739619.6547
300	739373.2323
301	738938.8703
302	738165.2386
303	737488.3033
304	737173.0079
305	736625.1988
306	735863.175
