iter	Passed	Remaining
0	180	541700
1	209	314207
2	223	223017
3	247	185745
4	268	160717
5	293	146312
6	318	136071
7	344	128857
8	373	124063
9	402	120388
10	426	115941
11	450	112289
12	476	109536
13	520	111030
14	555	110541
15	587	109521
16	613	107601
17	642	106469
18	671	105394
19	697	103901
20	720	102159
21	747	101223
22	772	99968
23	800	99270
24	830	98807
25	860	98458
26	888	97835
27	912	96874
28	924	94735
29	948	93881
30	972	93181
31	997	92532
32	1025	92197
33	1049	91526
34	1073	90943
35	1090	89774
36	1110	88922
37	1133	88334
38	1160	88094
39	1184	87680
40	1209	87319
41	1233	86848
42	1257	86507
43	1285	86380
44	1315	86390
45	1342	86216
46	1371	86155
47	1397	85933
48	1421	85595
49	1450	85597
50	1479	85553
51	1507	85462
52	1531	85166
53	1555	84874
54	1581	84696
55	1611	84730
56	1636	84507
57	1662	84306
58	1671	83321
59	1684	82523
60	1708	82301
61	1731	82035
62	1758	81995
63	1772	81308
64	1788	80770
65	1813	80598
66	1837	80419
67	1864	80387
68	1893	80422
69	1919	80343
70	1944	80231
71	1970	80131
72	1996	80035
73	2021	79920
74	2045	79778
75	2054	79035
76	2077	78854
77	2101	78722
78	2125	78584
79	2153	78610
80	2183	78691
81	2213	78763
82	2239	78717
83	2266	78663
84	2290	78535
85	2314	78431
86	2340	78356
87	2370	78454
88	2397	78407
89	2424	78376
90	2447	78253
91	2473	78186
92	2498	78083
93	2523	78013
94	2547	77903
95	2571	77795
96	2595	77692
97	2624	77712
98	2642	77443
99	2674	77552
100	2701	77536
101	2725	77438
102	2751	77401
103	2776	77302
104	2800	77225
105	2825	77151
106	2852	77121
107	2881	77148
108	2906	77093
109	2933	77062
110	2960	77045
111	2992	77172
112	3022	77230
113	3049	77200
114	3076	77172
115	3104	77196
116	3132	77188
117	3162	77239
118	3189	77230
119	3206	76959
120	3234	76950
121	3259	76899
122	3287	76883
123	3316	76916
124	3344	76917
125	3360	76653
126	3385	76593
127	3411	76535
128	3438	76520
129	3464	76486
130	3488	76405
131	3511	76303
132	3537	76254
133	3563	76216
134	3597	76339
135	3620	76233
136	3648	76242
137	3672	76164
138	3696	76089
139	3722	76037
140	3748	76011
141	3776	76006
142	3799	75920
143	3824	75847
144	3849	75793
145	3874	75731
146	3898	75669
147	3923	75609
148	3951	75607
149	3977	75571
150	4003	75529
151	4033	75584
152	4062	75596
153	4089	75579
154	4115	75536
155	4143	75537
156	4148	75121
157	4174	75093
158	4201	75076
159	4230	75092
160	4257	75069
161	4266	74748
162	4294	74743
163	4321	74721
164	4340	74578
165	4367	74568
166	4394	74544
167	4420	74515
168	4450	74555
169	4480	74588
170	4509	74609
171	4535	74571
172	4561	74540
173	4589	74534
174	4618	74556
175	4647	74574
176	4677	74597
177	4703	74575
178	4732	74582
179	4760	74582
180	4788	74578
181	4818	74608
182	4845	74586
183	4874	74593
184	4905	74638
185	4922	74478
186	4954	74524
187	4984	74554
188	5041	74987
189	5056	74787
190	5081	74737
191	5108	74709
192	5135	74688
193	5160	74639
194	5186	74611
195	5212	74574
196	5238	74531
197	5262	74473
198	5287	74426
199	5314	74404
200	5342	74396
201	5368	74364
202	5395	74344
203	5423	74330
204	5451	74330
205	5477	74289
206	5504	74271
207	5532	74265
208	5558	74225
209	5582	74170
210	5606	74113
211	5633	74082
212	5657	74031
213	5685	74020
214	5710	73971
215	5735	73921
216	5760	73873
217	5787	73854
218	5815	73843
219	5819	73538
220	5844	73491
221	5868	73438
222	5900	73479
223	5927	73463
224	5955	73447
225	5979	73397
226	6005	73360
227	6030	73317
228	6055	73276
229	6081	73243
230	6106	73199
231	6133	73184
232	6161	73168
233	6189	73157
234	6213	73112
235	6237	73052
236	6264	73037
237	6306	73182
238	6334	73181
239	6363	73182
240	6391	73176
241	6416	73124
242	6440	73073
243	6464	73017
244	6488	72958
245	6512	72906
246	6536	72857
247	6562	72819
248	6587	72785
249	6615	72769
250	6644	72775
251	6672	72760
252	6698	72735
253	6726	72718
254	6750	72670
255	6774	72616
256	6802	72600
257	6830	72589
258	6857	72567
259	6881	72516
260	6905	72465
261	6932	72443
262	6957	72410
263	6984	72387
264	7010	72353
265	7035	72308
266	7061	72278
267	7087	72249
268	7115	72235
269	7141	72207
270	7166	72164
271	7191	72127
272	7216	72084
273	7242	72055
274	7271	72054
275	7301	72058
276	7328	72036
277	7353	72001
278	7378	71963
279	7404	71929
280	7436	71954
281	7466	71964
282	7492	71936
283	7528	71996
284	7555	71976
285	7582	71955
286	7612	71956
287	7642	71965
288	7670	71949
289	7700	71958
290	7730	71965
291	7763	71994
292	7794	72008
293	7824	72016
294	7852	72001
295	7881	71998
296	7912	72012
297	7943	72020
298	7972	72019
299	8004	72041
300	8035	72051
301	8064	72043
302	8095	72053
303	8126	72065
304	8153	72044
305	8186	72075
306	8217	72082
